SAR Strategy,# of Searcher UAVs,# of Survivors,# of Survivors rescued,Min.Time needed to rescue Survivors,Mean. Time needed to rescue Survivors,Max. Time needed to rescue Survivors,# of Survivors found,Min. Time needed to find Survivors,Mean Time needed to find Survivors,Max. Time needed to find Survivors,Running Time of Simulation,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,8,1,72760,72760,72760,1,72660,72660,72660,45860,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,8,1,275379,275379,275379,1,275279,275279,275279,42450,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,16,4,209853,1003280,1974555,4,209753,1003179,1974455,47180,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,16,5,282512,1110195,1534284,5,282412,1110095,1534183,38530,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,16,2,907499,1449505,1991511,2,907399,1449405,1991411,45000,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,16,2,569440,888551,1207663,2,569340,888451,1207563,44670,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,16,1,651495,651495,651495,1,651395,651395,651395,46390,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,16,4,115857,621047,1283331,4,115757,620947,1283231,46450,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,16,2,31006,213970,396935,2,30906,213870,396835,52350,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,16,3,607516,748182,877809,3,607416,748082,877709,46270,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,16,3,132872,279101,534080,3,132772,279001,533980,51550,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,16,0,0,0,0,0,0,0,0,39380,,,,,,,,,,,,,,,,,,,,,,,,
